#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
19.9% 1205000 -76248.29608425612 14519.381776884491 -61728.914307371626 300.900865105652 711 19:37
20.0% 1210000 -76468.60731468775 14592.781965701966 -61875.82534898578 302.4220166707454 711 19:36
20.1% 1215000 -76736.34295272044 14550.747851967912 -62185.59510075253 301.5508982318968 711 19:35
20.2% 1220000 -76028.79083199505 14427.545289991347 -61601.2455420037 298.9976381791168 711 19:34
20.2% 1225000 -76202.40800273968 14459.582312086903 -61742.82569065278 299.6615760665624 710 19:33
20.3% 1230000 -76118.64357859788 14745.098258422238 -61373.545320175646 305.57863207996223 710 19:32
20.4% 1235000 -76432.96532670855 14310.796969687217 -62122.168357021335 296.57813636292565 710 19:31
20.5% 1240000 -76429.11956618045 14125.06520232693 -62304.054363853524 292.72901590207476 710 19:30
20.6% 1245000 -76254.35643369067 14237.601306184666 -62016.755127506 295.0612233973224 710 19:29
20.7% 1250000 -76105.69751680545 14620.275346380105 -61485.42217042534 302.99179175882125 710 19:28
20.7% 1255000 -76596.87274594774 14198.223258662725 -62398.649487285016 294.24514949365334 710 19:27
20.8% 1260000 -76445.72794838298 14342.067534116333 -62103.66041426665 297.22619011849554 710 19:26
20.9% 1265000 -75786.34913562264 14914.449233376208 -60871.899902246434 309.08827564834485 710 19:25
21.0% 1270000 -76366.08631884349 14551.217196314823 -61814.86912252867 301.56062496284085 710 19:23
21.1% 1275000 -76188.98821443546 14744.855892255664 -61444.1323221798 305.5736092635424 710 19:22
21.2% 1280000 -75901.17591512678 14371.109785273362 -61530.06612985341 297.82806412608437 709 19:22
21.2% 1285000 -76545.91781675539 14561.146238642643 -61984.77157811275 301.7663952547185 709 19:21
21.3% 1290000 -75838.38840990493 14539.238753277827 -61299.14965662711 301.31238272168775 709 19:20
21.4% 1295000 -76073.18368652344 14144.327365271525 -61928.85632125191 293.12820655515486 708 19:19
21.5% 1300000 -76667.89395551557 14448.899588172666 -62218.9943673429 299.44018641534495 708 19:18
21.6% 1305000 -76828.894189665 14401.492586556382 -62427.40160310862 298.45771980501615 708 19:18
21.7% 1310000 -76628.14930787087 14560.645271285961 -62067.50403658491 301.7560131659125 708 19:17
21.7% 1315000 -76367.09830467011 14415.040072156742 -61952.05823251337 298.7384790136241 707 19:16
21.8% 1320000 -76364.96578236864 14396.766974489443 -61968.1988078792 298.35978583090167 707 19:15
21.9% 1325000 -75911.73272668269 14597.184910654456 -61314.54781602824 302.5132636649752 707 19:14
22.0% 1330000 -76235.00839605991 14336.243019227177 -61898.76537683274 297.105482391686 707 19:13
22.1% 1335000 -76271.74821982151 14354.019113401093 -61917.72910642042 297.4738756330323 707 19:12
22.1% 1340000 -76757.65045782359 14800.508180762177 -61957.142277061415 306.72695187923 707 19:11
22.2% 1345000 -75872.94245453182 14462.763017362211 -61410.17943716961 299.7274932649455 707 19:10
22.3% 1350000 -76579.30160274965 14558.425047326846 -62020.8765554228 301.7100010615204 707 19:09
22.4% 1355000 -76722.43671473235 14313.149592851076 -62409.28712188127 296.6268923193535 707 19:08
22.5% 1360000 -76435.93252174061 14406.24182624354 -62029.69069549708 298.5561434398802 707 19:06
22.6% 1365000 -76373.62574584776 14588.274282221306 -61785.35146362646 302.32859906662173 707 19:05
22.6% 1370000 -76607.76797834225 14320.026196928175 -62287.74178141408 296.7694036292415 706 19:04
22.7% 1375000 -76495.43897218221 14301.70279621889 -62193.73617596332 296.38966796212935 706 19:03
